Post,Day,Slot,File,Title,Caption,Hashtags,Affiliate link (add '#ad · commissionable links in bio' ONLY once links are live),TikTok/Meta AI-content toggle
1,1,A — morning ~8:30am,post01_piece1_ai-tools-listicle.mp4,3 AI tools listicle,Which one are you trying first? 🤖 tools + elevenlabs in bio,#AITools #TechTok #Productivity #LearnOnTikTok,YES (ElevenLabs),YES (AI voiceover)
2,1,B — evening ~6:30pm,post02_d02_ordinary-texture.mp4,The Ordinary texture check,"Texture people, this is your sign 💧 the ordinary — linked in bio",#TextureTok #SkincareTok #SkincareRoutine,YES (iHerb),YES (AI visuals)
3,2,A — morning ~8:30am,post03_d03_removebg-tip.mp4,remove.bg tip,Did you know this one? 👇 tool in bio,#TechTok #FreeTools #PhotoEditing,YES (remove.bg),YES (AI voiceover)
4,2,B — evening ~6:30pm,post04_d04_kbeauty-unboxing.mp4,COSRX unboxing,The restock that deserved the hype 📦 cosrx in bio,#KBeauty #SkincareTok #Unboxing,YES (YesStyle),YES (AI visuals)
5,3,A — morning ~8:30am,post05_d05_chatgpt-grocery.mp4,AI grocery list,Steal this prompt 👇 (first comment),#AIHacks #TechTok #MealPrep,no,YES (AI voiceover)
6,3,B — evening ~6:30pm,post06_piece6_ritual-broll-montage.mp4,RITUAL b-roll ASMR,POV: restock night 🤍 (AI-assisted visuals),#ShelfieSunday #SkincareASMR #BeautyTok,no,YES (AI visuals)
7,4,A — morning ~8:30am,post07_d07_ai-broll-skeptic.mp4,AI b-roll tested (meta),I was skeptical too. Full test results soon 🎬,#AIBroll #UGCcreator #ContentCreator,no,YES (subject is AI)
8,4,B — evening ~6:30pm,post08_d08_capcut-freevspro.mp4,CapCut free vs pro,Save your money OR upgrade — here's the line 💸 capcut in bio,#CapCut #VideoEditing #TechTok,YES (CapCut),YES (AI voiceover)
9,5,A — morning ~8:30am,post09_piece7_evening-routine.mp4,Evening routine,Simple is the routine you'll actually keep ✨ picks in bio,#SkincareRoutine #MinimalSkincare #GlowUp,YES (iHerb picks),YES (AI visuals)
10,5,B — evening ~6:30pm,post10_d10_learn-with-ai.mp4,Learn copywriting w/ AI,The 2026 way to learn anything 🧠 tools in bio,#AILearning #Copywriting #TechTok,YES (Jasper),YES (AI voiceover)
11,6,A — morning ~8:30am,post11_piece8_glowpod-device-demo.mp4,GlowPod device demo (spec),Lazy-proof skincare tech 🔋 (concept piece),#BeautyTech #SkincareTools #LEDTherapy,no (fictional product),YES (AI visuals)
12,6,B — evening ~6:30pm,post12_d12_free-tools.mp4,3 free tools,Number 2 is criminal 👀 all linked in bio,#FreeApps #TechTok #DesignTools,YES (CapCut),YES (AI voiceover)
13,7,A — morning ~8:30am,post13_d13_shelf-reset.mp4,Shelf reset ASMR,Sunday shelf reset 🤍 restock list in bio,#ShelfReset #SkincareASMR #BeautyTok,YES (iHerb),YES (AI visuals)
14,7,B — evening ~6:30pm,post14_d14_open-for-collabs.mp4,Open for collabs capstone,Open for UGC collabs 🤝 portfolio in bio,#UGCcreator #UGCportfolio #BrandDeals #FacelessUGC,no,YES (AI visuals)
