type,name,id_or_path,public_url,notes
document,Thread Context (working memory),cmrn2pu9f02yv07adbzzp5kk5,,"Richest source: Notes/Entities/Decisions. Mutates constantly via UpdateDocument append/replace/prepend - always reconstruct current state via full event replay, do not trust a single point-in-time read."
document,Business Blueprint,cmrn3sah602ze06admcca5z2m,,"Strategy, rate card, templates, 4-gate audit system, VO recording kit (16 scripts across 13 sections). Version 4 + one later append (vo_p9 script added 2026-07-22 ~06:47)."
document,14-Day Account Seasoning Pack,cmrn6ieal03tp07ad52ukx3e7,,"Posting plan, affiliate product map, week 1/2 briefs, reuse/measurement, TikTok SEO insight. Version 6, confirmed current (no later appends found)."
table,UGC Job Application Tracker,cmrn3tbsx037n07adlqz8xsms,,"31 rows as of 2026-07-22 (28 base rows + 3 added by Scheduled Scan #3). Columns: Date Found, Platform, Brand & Job, Link, Niche, Rate, Deliverables, Status, Applied On, Outcome, Notes."
table,UGC Platform Matrix,cmrn3ta99036q07ado2qwdyst,,"32 rows total (28 original + 4 added 2026-07-16: viral.app/Canvas UGC, Operator Discords + The Creator Current, Cohley, Canva Creators Program). Summary-level only per task scope."
rubric,UGC Portfolio Piece Audit,cmrn3vm5u03ab06adz0jn7xgm,,"7 weighted criteria totaling 100: Hook Strength 20, Niche & Brief Fit 15, Direct-Response Structure 15, Faceless Craft & Production Quality 15, Compliance & Disclosure 15, Native Authenticity 10, Brand-Readiness & Specs 10. Pass gate >=85/100."
artifact,Portfolio page (The Faceless Studio),cmrng53m007jn07adma5ikivi,https://hyperagent.com/s/FMzW0cevuae9D2CofCVq0A,"Live webpage artifact, now version 5. Public URL is stable across all republishes - use in all bios/pitches. Originally 'EM Studio' placeholder, rebranded 2026-07-17."
artifact,VO Recording Sheet,cmrw1qhoo0cch07adb00k9ojv,https://hyperagent.com/api/files/usergenerated/threads/cmrn2omwl04up07adfcsa0orz/artifacts/06a36da7-58f6-43cb-aacd-c02b217929bd.html,"All 16 VO scripts, named and ready. Local copy at /agent/workspace/vo_recording_sheet.html."
video,Piece 1 - AI Tools Listicle,/agent/workspace/portfolio/piece1_ai-tools-listicle.mp4,https://pub.hyperagent.com/api/published/pbf01KXNBY7W3_YRMZ32JFKMTMM9C9/piece1_ai-tools-listicle.mp4,"Audit score 92/100. Real-voice remix (_realvo.mp4) exists locally but not yet republished."
video,Piece 2 - TaskLoop SaaS Ad,/agent/workspace/portfolio/piece2_taskloop-saas-ad.mp4,https://pub.hyperagent.com/api/published/pbf01KXNBY8H5_NFYZJJ55Z6S3HKJJ/piece2_taskloop-saas-ad.mp4,"Audit score 94/100. Real-voice remix exists locally, not yet republished."
